cnty,ExcessDrink_Percent,femalePOP165210D$10,hispanicPOP405210D$10,blackPOP255210D$10,forgnbornHC03_VC134ACS3yr$10,hsgradHC03_VC93ACS3yr$10,bachdegHC03_VC94ACS3yr$10,logincomeHC01_VC85ACS3yr$10,unemployAve_BLSLAUS$0910,marriedaveHC03_AC3yr$10,age_1to14,age_15to29,age_30to60,age_gte61,avg_zhs_zloginc
39043,21,51,3.4,8.6,1.5,89.3,19.5,4.65172,10.9499998092651,54.55,0.169172187,0.1717809705,0.406853792,0.241686765,0.7175770962737495
39045,16,50.4,1.7,6,2.5,91.8,25.5,4.7449,8.69999980926514,56.85,0.2037274045,0.1832870665,0.42278367400000005,0.1782772595,1.98061868391442
39049,19,51.3,4.8,21.2,9.3,89.3,35.5,4.6888,8.44999980926514,43.4,0.1860888055,0.2460713465,0.4073323365,0.1456880755,1.071037924447862
39053,17,50.7,0.9,2.6,0.7,81.4,16.4,4.59565,10,56.25,0.18036199349999998,0.192655067,0.397358171,0.21647402799999999,-1.001315872257798
39055,20,50.8,1.1,1.3,3.1,90.5,34.9,4.79465,7.34999990463257,61.75,0.19827977,0.1557834565,0.4171683075,0.21870754350000002,2.259951561730691
39057,14,51,2.1,7.2,4.1,92.3,34.5,4.7408,9.64999961853027,52.05,0.1670232565,0.24797140350000002,0.380945867,0.19333005550000001,2.0164987007584347
39059,14,51,0.9,1.5,1.2,84.8,11.5,4.57125,11.8999996185303,52.8,0.185165197,0.1793320525,0.401279781,0.22276140749999998,-0.7241590586341278
39061,20,52,2.6,25.7,4.8,88,32.7,4.67707,9.19999980926514,43.95,0.1816217545,0.219404129,0.40067553899999997,0.18515057899999998,0.7643197851081309
39063,11,51.5,4.5,1.5,2.7,91.2,25,4.68699,9.5,54.3,0.18166175950000002,0.20998268650000002,0.3969086045,0.19928478000000002,1.338642927073221
39069,13,50.5,6.6,0.4,1.6,90.6,12.1,4.6576,12.4499998092651,56.05,0.19569127149999999,0.179919122,0.406034641,0.206605081,0.9685307845665964
39073,16,50,0.7,0.7,0.8,84.5,11.6,4.58832,11.1000003814697,57.55,0.185653089,0.1735365405,0.4106260475,0.2192192675,-0.6064189268952359
39077,26,50.7,5.6,1,3,87.8,12.3,4.66243,14.4499998092651,56.3,0.20230602350000002,0.1838905625,0.40913771800000004,0.19172904299999996,0.5947805539186708
39081,20,52,1.1,5.6,1.1,87.7,14.5,4.56519,12.75,50.15,0.153793324,0.18381315649999996,0.401676869,0.2508347165,-0.34714110238308105
39083,13,51.2,1.2,0.8,1.3,88.5,20.5,4.67482,9.60000038146973,55.35,0.18628316649999999,0.2133511235,0.3844363145,0.20364715100000003,0.8178347138216919
